English,French,Spanish
accident,l'accident,la desgracia
account,le compte,la cuenta
action,l'action,la acción
advantage,l'avantage,la ventaja
advertisement,l'annonce,el anuncio
advice,le conseil,el consejo
age,l'âge,la edad
amusement,l'amusement,la diversión
anger,la colère,la cólera
angle,l'angle,el ángulo
answer,la réponse,la respuesta
apology,l'excuse,la disculpa
apparatus,l'appareil,el aparato
appetite,l'apétit,el apetito
army,l'armée,el ejército
art,l'art,el arte
assistance,l'aide,la ayuda
attack,l'attaque,el ataque
authority,l'autorité,la autoridad
average,la moyenne,el término medio
bag,le sac,el saco
ball,la balle,la bola
battle,la bataille,la batalla
beauty,la beauté,la belleza
beginning,le commencement,el principio
birth,la naissance,el nacimiento
blot,la tache,el borrón
blow,le coup,el golpe
bottom,le fond,el fondo
burn,la brûlure,la quemadura
business,les affaires,los negocios
care,le soin,el cuidado
case,le cas,el caso
cause,le cause,la causa
change,le changement,el cambio
chemistry,la chimie,la química
choice,le choix,la elección
circle,le cercle,el círculo
cleanliness,la propreté,la limpieza
color,la couleur,el color
committee,la comité,el comité
company,la compagnie,la compañía
competition,le concours,el concurso
compromise,le compromis,el compromiso
conclusion,la fin,el fin
conduct,la conduite,la conducta
confidence,la confiance,la confianza
conquest,la conquête,la conquista
contact,le contact,el contacto
contempt,le mépris,el desprecio
contents,le contenu,el contenido
country,le pays,el país
courage,le courage,el valor
cowardice,la lâcheté,la cobardía
crack,la fente,la hendedura
crime,le crime,el crimen
crisis,la crise,la crisis
criticism,la critique,la crítica
cross,la croix,la cruz
crowd,la foule,la muchedumbre
cruelty,la cruauté,la crueldad
cry,le cri,el grito
cube,le cube,el cubo
curve,la courbe,la curva
custom,la coutume,la costumbre
cut,la coupure,el corte
damage,le dommage,el daño
dance,la danse,el baile
danger,le danger,el peligro
death,la mort,la muerte
debt,la dette,la deuda
defeat,la défaite,la derrota
defect,le défaut,el defecto
defense,la défense,la defensa
degree,le degré,el grado
depth,la profondeur,la profundidad
design,le dessin,el diseño
desire,le désir,el deseo
detail,le détail,el detalle
development,le développement,el desarrollo
disaster,le désastre,el desastre
discovery,la découverte,el descubrimiento
disgust,le dégoût,la repugnancia
distance,la distance,la distancia
doubt,le doute,la duda
dream,le rêve,el sueño
drop,la goutte,la gota
duration,la durée,la duración
duty,le devoir,el deber
edge,le bord,el borde
effort,l'effort,el esfuerzo
electricity,l'électricité,la electricidad
employment,l'emploi,el empleo
encounter,la rencontre,el encuentro
end,le bout,el extremo
enemy,l'ennemi,el enemigo
enterprise,l'entreprise,la empresa
entrance,l'entrée,la entrada
environment,le milieu,el ambiente
envy,l'envie,la envidia
equality,l'égalité,la igualdad
error,l'erreur,el error
event,l'événement,el acontecimiento
examination,l'examen,el examen
example,l'exemple,el ejemplo
exchange,l'échange,el cambio
exhibition,l'exposition,la exposición
existence,l'existence,la existencia
expense,les frais,los gastos
explanation,l'explication,la explicación
fact,le fait,el hecho
fall,la baisse,la caída
fear,la peur,el temor
flight,le vol,el vuelo
fold,le pli,el pliegue
food,la nourriture,el alimento
force,la force,la fuerza
friend,l'ami,el amigo
friendship,l'amitié,la amistad
front,le front,el frente
frontier,la frontière,la frontera
fuel,le combustible,el combustible
future,l'avenir,el futuro
game,le jeu,el juego
gesture,le geste,el gesto
gland,la glande,la glándula
government,le gouvernement,el gobierno
gratitude,la reconnaissance,la gratitud
group,le groupe,el grupo
growth,la croissance,el crecimiento
half,la moitié,la mitad
happiness,le bonheur,la felicidad
haste,la hâte,la prisa
hate,la haine,el odio
health,la santé,la salud
heap,le tas,el montón
hearing,l'ouïe,el oído
heat,la chaleur,el calor
height,la hauteur,la altura
history,l'histoire,la historia
hole,le trou,el agujero
honor,l'honneur,el honor
hope,l'espoir,la esperanza
hunger,la faim,el hambre
idea,l'idée,la idea
improvement,l'amélioration,el mejoramiento
impulse,l'impulsion,el impulso
inhabitant,l'habitant,el habitante
instrument,l'instrument,el instrumento
insurance,l'assurance,el seguro
interest,l'intérêt,el interés
jealousy,la jalousie,los celos
joke,la plaisanterie,la broma
journey,le voyage,el viaje
joy,la joie,la alegría
judgment,le jugement,el juicio
jump,le saut,el salto
kind,le genre,el género
kiss,le baiser,el beso
knot,le nœud,el nudo
knowledge,la connaissance,el conocimiento
language,la langue,la lengua
laughter,le rire,la risa
law,la loi,la ley
laziness,la paresse,la pereza
lecture,la conférence,la conferencia
length,la longueur,la longitud
lesson,la leçon,la lección
level,le niveau,el nivel
lie,le mensonge,la mentira
life,la vie,la vida
line,la ligne,la línea
liquid,le liquide,el líquido
list,la liste,la lista
load,la charge,la carga
look,le regard,la mirada
loss,la perte,la pérdida
love,l'amour,el amor
luxury,le luxe,el lujo
machine,la machine,la máquina
majority,la majorité,la mayoría
manager,le directeur,el director
manner,la manière,la manera
mark,la marque,la marca
mass,la masse,la masa
material,le matériel,el material
matter,la matière,la materia
means,le moyen,el medio
measure,la mesure,la medida
meeting,la réunion,el reunión
member,le membre,el miembro
memory,la mémoire,la memoria
method,la méthode,el método
middle,le centre,el medio
minority,la minorité,la minoría
mixture,le mélange,la mezcla
money,l'argent,el dinero
mood,l'humeur,el humor
movement,le mouvement,el movimiento
native land,la patrie,la patria
nature,la nature,la naturaleza
navy,la marine,la marina
noise,le bruit,el ruido
notice,l'avis,el aviso
number,le nombre,el número
object,l'objet,el objeto
offer,l'offre,la oferta
order,l'ordre,el orden
origin,l'origine,el origen
owner,le propriétaire,el propietario
pain,la douleur,el dolor
painting,la peinture,la pintura
part,la partie,la parte
party,le parti,el partido
past,le passé,el pasado
peace,la paix,la paz
people,les gens,la gente
person,la personne,la persona
piece,le morceau,el pedazo
place,l'endroit,el lugar
plant,la plante,la planta
pleasure,le plaisir,el placer
poetry,la poésie,la poesía
point,le point,el punto
poison,le poison,el veneno
politeness,la politesse,la cortesía
politics,la politique,la política
population,la population,la población
poverty,la pauvreté,la pobreza
power,le pouvoir,el poder
practice,l'exercice,el ejercicio
prejudice,le prejugé,el perjuicio
present,le cadeau,el regalo
pressure,la pression,la presión
price,le prix,el precio
prize,le prix,el premio
problem,le problème,el problema
product,le produit,el producto
profit,le profit,el provecho
progress,le progrès,el progreso
proof,la preuve,le prueba
property,la propriété,la propiedad
protest,la protestation,la protesta
punishment,la punition,el castigo
purchase,l'achat,la compra
purpose,le but,el objeto
question,la question,la pregunta
race,la race,la raza
ray,le rayon,el rayo
reason,la raison,la razón
receipt,le reçu,el recibo
recollection,le souvenir,el recuerdo
refusal,le refus,la negativa
remainder,le reste,el resto
remedy,le remède,el remedio
report,le rapport,el informe
request,la demande,la petición
respect,le respect,el respeto
rest,le repos,el descanso
result,le résultat,el resultado
revenge,la vengeance,la venganza
reward,la récompense,la recompensa
right,le droit,el derecho
risk,le risque,el riesgo
rule,la règle,la regla
sadness,la tristesse,la tristeza
safety,la sureté,la seguridad
sale,la vente,la venta
sample,l'échantillon,la muestra
scale,l'échelle,la escala
science,la science,la ciencia
sense,le sens,el sentido
sentence,la phrase,la frase
sex,le sexe,el sexo
shame,la honte,la vergüenza
side,le côté,el lado
sight,la vue,la vista
sign,le signe,la señal
size,la grandeur,el tamaño
sleep,le sommeil,el sueño
smell,l'odeur,el olor
smile,le sourir,la sonrisa
song,la chanson,la canción
sound,le son,el sonido
space,l'espace,el espacio
speech ,le discours,el discurso
speed,la vitesse,la velocidad
sport,le sport,el deporte
square,le carré,el cuadrado
state,l'état,el estado
step,le passé,el paso
strike,la grève,la huelga
struggle,la lutte,la lucha
study,l'étude,el estudio
success,le succès,el éxito
suggestion,la suggestion,la sugerencia
sum,la somme,la suma
summary,le résumé,el resumen
summit,le sommet,la cumbre
surface,la surface,la superficie
surprise,la surprise,la sorpresa
suspicion,le soupçon,la sospecha
swindle,l'escroquerie,la estafa
system,le système,el sistema
task,la tâche,la tarea
taste,le goût,el gusto
tax,l'impôt,el impuesto
test,l'épreuve,la prueba
thanks,les remerciements,las gracias
theft,le vol,el robo
thing,la chose,la cosa
thirst,la soif,la sed
tone,le ton,el tono
touch,le toucher,el tacto
toy,le jouet,el juguete
trade,le commerce,el comercio
translation,la traduction,la traducción
transport,le transport,el transporte
treatment,le traîtement,el tratamiento
treaty,le traité,el tratado
trial,le procès,el proceso
truth,la vérité,la verdad
use,l'emploi,el uso
value,la valeur,el valor
vessel,le vaisseau,la vasija
victory,la victoire,la victoria
voice,la voix,la voz
wages,le salaire,el salario
walk,la promenade,el paseo
want,le manque,la falta
war,la guerre,la guerra
wealth,la richesse,la riqueza
weapon,l'arme,el arma
weight,le poids,el peso
width,la largeur,la anchura
will,la volonté,la voluntad
wish,le souhait,el deseo
word,le mot,la palabra
work,le travail,el trabajo
world,le monde,el mundo
youth,la jeunesse,la juventud
zeal,le zèle,el celo